Nom du Club, Numéro
TSV Kestenholz,3000
TSV Mümliswil-Ramiswil,3001
TV Biezwil,3003
TV Gretzenbach,3005
TV Olten,3006
ETV Schindellegi,3007
KTV Altendorf,3008
KTV Freienbach,3010
Leichtathletik Arth,3011
STV Einsiedeln,3012
STV Gersau,3013
STV Küssnacht,3014
STV Pfäffikon-Freienbach,3016
STV Tuggen,3017
STV Wägital,3018
STV Wangen SZ,3019
STV Wollerau-Bäch,3020
TSV Galgenen,3021
Turnverein Siebnen,3023
TV Brunnen,3024
TV Ibach,3025
TV Otelfingen,3026
KTV Frauenfeld,3028
LAR Bischofszell,3030
LAR Tägerwilen-Kreuzlingen,3031
LC Frauenfeld,3032
STV Berg,3033
STV Güttingen,3034
TSV Guntershausen,3036
TV Eschlikon,3037
AS Monteceneri,3038
Atletica Mendrisiotto,3040
Atletica Tenero 90,3041
GAB Bellinzona,3043
GAD Dongio,3044
Runner's Club Bellinzona,3045
SA Bellinzona,3046
SAG Gordola,3047
SAL Lugano,3048
SAM Massagno,3049
SAV Vacallo,3050
SFG Biasca,3052
SFG Chiasso,3053
SFG Mendrisio,3054
Unitas Malcantone,3055
US Ascona atletica,3056
USC Capriaschese-Atletica,3057
VIGOR Ligornetto,3058
VIRTUS Locarno,3059
TV Bürglen,3063
CA Broyard,3065
CA Riviera,3066
CM Cour Lausanne,3067
COVA Nyon,3068
Croc-Kil...Leysin,3069
FSG Avenches,3070
FSG Chexbres,3071
FSG Epalinges,3072
FSG Penthalaz,3075
FSG Saint-Cierges,3076
Lausanne-Sports Athlétisme,3078
Running Team Prilly,3079
Société de gymnastique de Moudon,3080
Société de Gymnastique de Saint-Prex,3081
US Yverdon,3083
Académie Trail Running Valais,3084
CA Dents-du-Midi,3085
CA Sion,3087
CA Vétroz,3088
Verein Kinder-Camps,3089
CABV Martigny,3090
Club de Marche de Monthey,3091
CS 13 Etoiles,3092
LLT Oberwallis,3094
LV Visp,3095
SFG Collombey-Muraz,3096
SFG Conthey,3097
SG St-Maurice,3098
STV Gampel,3099
T-R-T Athlétisme Monthey,3100
Hochwacht Zug,3102
Laufgruppe Cham Track,3103
STV Oberägeri,3105
STV Unterägeri,3106
TSV 2001 Rotkreuz,3107
TV Cham 1884,3108
LA Wyland,3110
LAC TV Unterstrass Zürich,3111
LC Furttal ZH-Nord,3113
LC Meilen,3114
LC Rafzerfeld,3115
LC Regensdorf,3116
LC Turicum,3117
LC Uster,3118
Leichtathletik-Club Dübendorf,3120
LGKE Küsnacht-Erlenbach,3121
LV Albis,3122
LV Zürcher Oberland,3124
SATUS Zürich-Oerlikon,3125
SSC Athletics,3126
Turnverein Richterswil,3130
Turnverein Wiesendangen,3131
TV Altstetten-Zürich,3132
TV Buttikon-Schübelbach,3133
TV Dägerlen,3134
TV Egg,3136
TV Hausen a. A.,3137
TV Hombrechtikon,3138
TV Horgen,3139
TV Kloten LA,3141
TV Länggasse Bern,3142
TV Maur,3143
TV NS Winterthur,3144
TV Oerlikon,3145
TV Thalwil,3146
TV Uster,3147
TV Wädenswil,3148
ATHLE.ch,3149
Athletic Club 3-Chêne,3150
ATLET (Association Team Léman Espoirs Triathlon),3152
Ecole nouvelle de la Suisse Romande,3153
Fémina Vicques,3154
FSG Orbe-Ancienne,3156
InVia Run,3157
LAV Glarus,3159
LC Bottighofen,3160
Leichtathletikclub Oensingen,3161
Società Sportiva Valle di Muggio,3163
TIP-TOP Swiss Polysport,3164
Comunità Atletica Sottoceneri,3555
Biel/Bienne Athletics,3559
CA Courtelary,3560
CA Moutier,3561
CNP Lausanne-Aigle,3562
Florimont Athletics Club,3563
FSG Collonge-Bellerive,3564
FSG Courroux,3565
FSG Féminine Tavannes,3566
FSG La Neuveville,3568
FSG St-Imier,3570
GG Bern,3572
LV Thun,3573
LA-Riege TV Olten,3574
LAG TV Zollikofen,3575
Satus Biel-Bienne,3576
Turnverein Bad Ragaz,3577
LV Langenthal,3578
LAC Wohlen,3579
Gerbersport,3580
LA Rüegsauschachen,3581
LC Scharnachtal,3584
LV Huttwil,3585
LV Kandertal,3586
TV Teufen,3590
TV Thal,3591
SFG Stabio,3614
Together Athletics club,3617
FSG Gimel,3618
Cham Athletics,3620
Lauftreff Goldach,3621
Gym la Coudre,3623
Atletica Ceresio,3624
LV Winterthur,3626
TV Buchs AG,2791
Vom Stein Baden,2796
LR TV Appenzell,2797
TSV Vechigen,2833
LC Basel,2868
CA Fribourg,2877
Cottens Athlètes,2882
LC Luzern,2923
Leichtathletik-Vereinigung Horw,2924
TV Grosswangen,2938
FSG Cernier,2945
FSG Corcelles-Cormondrèche,2946
Leichtathletik Kerns,2954
LGB Benken,2966
STV Au SG,2968
STV Balgach,2969
STV Gams,2972
STV Kriessern,2975
TSV Fortitudo Gossau,2981
TV Schaan / Leichtathletik,2987
LA TV Wolfwil,2993
TV Gunzgen,2996
TV Grenchen,3004
STV Lachen,3015
TSV Steinen,3022
Amriswil-Athletics,3027
STV Neukirch-Egnach,3035
LC Altdorf,3062
FSG La Sarraz,3073
FSG Morges,3074
CA Sierre DSG,3086
TV Naters,3101
LK Zug,3104
LAR TV Rüti,3112
Leichtathletik Club Zürich,3119
STV Wiedikon,3128
TV Kilchberg,3140
Laufental Thierstein Athletics,3158
AC Murten,3557
AthleTEAM Lutry,3558
Fun and Run Thun,3571
Turnverein Walenstadt,3619
Aarau Track Club,3622
